"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
IG_CA-Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Flyer_EN_Edmonton_SEP12_7PM_Flyer_7-8-25,"Instagram Stories",not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,42.52,"7-day click or 1-day view",3.30149856,12879,1.51091037,8524,0.04091933,527,,"Landing page views",433,0.09819861,312,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Flyer_EN_Edmonton_SEP12_7PM_Flyer_7-8-25,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,42.13,"7-day click or 1-day view",2.97234373,14174,1.41175299,10040,0.03534641,501,,"Landing page views",389,0.10830334,251,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,Feed,not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,41.40737442,"7-day click, 1-day view, or 1-day engaged-view",5.66138562,7314,1.33151283,5493,0.0232431,170,,"Website adds to cart",149,0.27790184,149,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,CRS_EN_Edmonton_SEP12_7PM_JobInterview_8-22-2025,"Facebook Reels",not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,40.06290627,"7-day click or 1-day view",5.60398745,7149,2.13212049,3353,0.01188977,85,,"Website adds to cart",2,20.03145313,2,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_NotADoctor_8-3-2025,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,38.35,"7-day click, 1-day view, or 1-day engaged-view",5.46062936,7023,1.4444673,4862,0.01224548,86,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,CRS_EN_Edmonton_SEP12_7PM_NotADoctor_8-3-2025,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,36.6,"7-day click or 1-day view",4.87934942,7501,1.67134581,4488,0.01693108,127,,"Website adds to cart",,,,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,"Instagram Reels",not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,36.02436447,"7-day click, 1-day view, or 1-day engaged-view",3.78964491,9506,1.26208178,7532,0.01840943,175,,"Website adds to cart",251,0.14352336,251,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,IG_MW_21-45_EN_Feed_SEP12_Edmonton_7PM_HotIntent_9-8-25,CRS_EN_Edmonton_SEP12_7PM_Thai_9-8-2025,Feed,not_delivering,ad,IG_MW_21-45_EN_Feed_SEP12_Edmonton_7PM_HotIntent_9-8-25,34.55,"7-day click or 1-day view",254.04411765,136,1.54545455,88,0.01470588,2,,"Website adds to cart",2,17.275,2,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,CRS_EN_Edmonton_SEP12_7PM_NotADoctor_8-3-2025,"Facebook Reels",not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,33.53,"7-day click or 1-day view",5.60983771,5977,1.79381753,3332,0.01472311,88,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA_EDM_0915_7PM_C25_LAL_CONV_LD0913,30-50_FB_CA_EDM_0915_7PM_C25_LAL_Web_LD0913,Flyer_24-55_FB_CA_EDM_0915_7PM_C25_LAL_Web_LD0913Flyer_9-8-2025,Feed,not_delivering,ad,30-50_FB_CA_EDM_0915_7PM_C25_LAL_Web_LD0913,31.90674134,"7-day click or 1-day view",4.07181487,7836,1.24380952,6300,0.02284329,179,,"Website adds to cart",253,0.1261136,253,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,IG_MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Warm_9-8-25,Flyer_EN_Edmonton_SEP14_7PM_Flyer_9-8-2025,Feed,not_delivering,ad,IG_MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Warm_9-8-25,31.35,"7-day click or 1-day view",15.2184466,2060,1.25075896,1647,0.01650485,34,,"Website adds to cart",55,0.57,55,2025-04-01,2025-09-17
FB_CA_EDM_0915_7PM_C25_LAL_CONV_LD0913,30-50_FB_CA_EDM_0915_7PM_C25_Engagament_Web_LD0913,Flyer_24-55_FB_CA_EDM_0915_7PM_C25_LAL_Web_LD0913Flyer_9-8-2025,Feed,not_delivering,ad,30-50_FB_CA_EDM_0915_7PM_C25_Engagament_Web_LD0913,31.03,"7-day click or 1-day view",4.05197179,7658,1.30838886,5853,0.02311308,177,,"Website adds to cart",245,0.12665306,245,2025-04-01,2025-09-17
FB_CA_Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Video_EN_Edmonton_SEP12_7PM_NotADoctor_7-25-25,"Facebook Reels",not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,30.78,"7-day click or 1-day view",3.51610692,8754,1.45125995,6032,0.05997258,525,,"Landing page views",323,0.09529412,,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,CRS_EN_Edmonton_SEP12_7PM_JobInterview_8-22-2025,Feed,not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-2025,29.7,"7-day click, 1-day view, or 1-day engaged-view",5.77596266,5142,1.23665224,4158,0.01575263,81,,"Website adds to cart",91,0.32637363,91,2025-04-01,2025-09-17
