"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,Desktop,Desktop,inactive,10,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,"Android Smartphone",inactive,10,Daily,10.85,"7-day click or 1-day view",5.581276,1944,1.523511,1276,0.09259259,180,147,actions:landing_page_view,0.07380952,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,"Android Tablet",inactive,10,Daily,0.02,"7-day click or 1-day view",6.666667,3,1,3,0,,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,iPad,inactive,10,Daily,0.49,"7-day click or 1-day view",7.101449,69,1.815789,38,0.07246377,5,3,actions:landing_page_view,0.16333333,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,iPhone,inactive,10,Daily,55.85,"7-day click or 1-day view",6.013783,9287,1.588336,5847,0.07914289,735,709,actions:landing_page_view,0.07877292,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,Other,inactive,10,Daily,0,"7-day click or 1-day view",0,2,0,0,0,,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,Feed,"Mobile web",iPhone,inactive,10,Daily,0.02,"7-day click or 1-day view",6.666667,3,1.5,2,0,,,,,2025-07-20
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,Desktop,Desktop,inactive,25,Daily,0,"7-day click or 1-day view",0,1,1,1,0,,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,In-app,"Android Smartphone",inactive,25,Daily,142.06,"7-day click or 1-day view",8.976368,15826,1.500948,10544,0.05775306,914,748,actions:landing_page_view,0.18991979,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,In-app,"Android Tablet",inactive,25,Daily,0.43,"7-day click or 1-day view",11.025641,39,1.625,24,0.07692308,3,3,actions:landing_page_view,0.14333333,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,In-app,iPhone,inactive,25,Daily,76.12,"7-day click or 1-day view",7.612,10000,1.315789,7600,0.0706,706,349,actions:landing_page_view,0.21810888,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,In-app,Other,inactive,25,Daily,0.07,"7-day click or 1-day view",7,10,1.25,8,0.1,1,1,actions:landing_page_view,0.07,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,"Mobile web","Android Smartphone",inactive,25,Daily,0.01,"7-day click or 1-day view",3.333333,3,1,3,0,,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Feed,"Mobile web",iPhone,inactive,25,Daily,0.05,"7-day click or 1-day view",4.545455,11,1,11,0,,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Explore,In-app,"Android Smartphone",inactive,25,Daily,5.36,"7-day click or 1-day view",6.512758,823,1.409247,584,0.05589307,46,33,actions:landing_page_view,0.16242424,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Explore,In-app,"Android Tablet",inactive,25,Daily,0.01,"7-day click or 1-day view",5,2,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,Explore,In-app,iPhone,inactive,25,Daily,2.1,"7-day click or 1-day view",5.722071,367,1.32971,276,0.05177112,19,9,actions:landing_page_view,0.23333333,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,25,Daily,0.7,"7-day click or 1-day view",5.737705,122,1.173077,104,0.05737705,7,4,actions:landing_page_view,0.175,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,"Instagram Reels",In-app,iPad,inactive,25,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,"Instagram Reels",In-app,iPhone,inactive,25,Daily,5.29,"7-day click or 1-day view",5.651709,936,1.141463,820,0.04059829,38,25,actions:landing_page_view,0.2116,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,"Instagram Stories",Desktop,Desktop,inactive,25,Daily,0.01,"7-day click or 1-day view",10,1,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,25,Daily,1.1,"7-day click or 1-day view",7.692308,143,1.117188,128,0.04195804,6,4,actions:landing_page_view,0.275,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,Instagram,"Instagram Stories",In-app,iPad,inactive,25,Daily,0.01,"7-day click or 1-day view",3.333333,3,0,0,0,,,,,2025-07-18
