"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"16:00:00 - 16:59:59",active,10,Daily,32.287707,"7-day click or 1-day view",6.846418,4716,1.109647,4250,0.07124682,336,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"16:00:00 - 16:59:59",active,"Using ad set budget",0,37.221555,"7-day click or 1-day view",7.08712,5252,1.177578,4460,0.04360244,229,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"17:00:00 - 17:59:59",inactive,20,Daily,18.544649,"7-day click or 1-day view",5.41766,3423,1.088048,3146,0.05200117,178,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"17:00:00 - 17:59:59",inactive,20,Daily,6.269636,"7-day click or 1-day view",6.698329,936,1.090909,858,0.11004274,103,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,2.055877,"7-day click or 1-day view",1.155636,1779,1.093423,1627,0,,1627,reach,1.26359971,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,3.125103,"7-day click or 1-day view",2.452985,1274,1.022472,1246,0,,1246,reach,2.50810838,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,3.116257,"7-day click or 1-day view",2.369777,1315,1.005352,1308,0.00152091,2,1308,reach,2.38245909,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,1.736918,"7-day click or 1-day view",1.98505,875,1.005747,870,0.00114286,1,870,reach,1.996458,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"17:00:00 - 17:59:59",active,10,Daily,37.60733,"7-day click or 1-day view",7.243322,5192,1.118002,4644,0.07723421,401,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"17:00:00 - 17:59:59",active,"Using ad set budget",0,46.051924,"7-day click or 1-day view",7.629543,6036,1.138009,5304,0.03810471,230,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"18:00:00 - 18:59:59",inactive,20,Daily,22.495639,"7-day click or 1-day view",5.473392,4110,1.144847,3590,0.05596107,230,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"18:00:00 - 18:59:59",inactive,20,Daily,8.04236,"7-day click or 1-day view",6.786802,1185,1.07337,1104,0.10632911,126,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,2.045848,"7-day click or 1-day view",1.285888,1591,1.09197,1457,0.00188561,3,1457,reach,1.40415104,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,3.676003,"7-day click or 1-day view",2.351889,1563,1,1563,0.00127959,2,1563,reach,2.35188907,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,3.817665,"7-day click or 1-day view",2.45509,1555,1,1555,0.00128617,2,1555,reach,2.45508985,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,1.787118,"7-day click or 1-day view",2.300024,777,1.034621,751,0.001287,1,751,reach,2.37965169,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"18:00:00 - 18:59:59",active,10,Daily,37.067368,"7-day click or 1-day view",6.589754,5625,1.185958,4743,0.07377778,415,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"18:00:00 - 18:59:59",active,"Using ad set budget",0,40.041673,"7-day click or 1-day view",6.954094,5758,1.174623,4902,0.04098645,236,,,,Ongoing
