"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
"IT-Rome-Traffic-EN-MAY2025-Target - Support2",Targeted,"T-CRS - Jew Muslim",Feed,not_delivering,ad,Targeted,285.26999159,"7-day click or 1-day view",2.14745441,132841,1.55635354,85354,0.08312946,11043,,"Landing page views",8974,0.0317885,14,2025-04-01,2025-09-17
"US-SF-Traffic-MAY2025-Interest - 2nd - Support",Interest,"I-CRS - Big",Feed,not_delivering,ad,Interest,276.14,"7-day click or 1-day view",8.31396399,33214,1.2034058,27600,0.1202505,3994,,"Landing page views",3700,0.07463243,,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Interest - 2nd - Support5",Interest,"I-CRS - Father Love",Feed,not_delivering,ad,Interest,272.22916127,"7-day click or 1-day view",5.39890846,50423,1.37486026,36675,0.06481169,3268,,"Landing page views",3023,0.09005265,40,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Target - 2nd - Support3",Targeted,"T-CRS - Jew Muslim",Feed,not_delivering,ad,Targeted,261.91,"7-day click or 1-day view",5.03527829,52015,2.05106467,25360,0.1208113,6284,,"Landing page views",5785,0.04527398,35,2025-04-01,2025-09-17
"US-Phoenix-Traffic-Apr2025-Interest - Support2",Interest,"I-CRS - Father Love",Feed,not_delivering,ad,Interest,260.09,"7-day click or 1-day view",7.43624199,34976,1.25097464,27959,0.10996112,3846,,"Landing page views",3615,0.07194744,11,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-JUN2025-Interest - Support",Interest,"I-CRS - KhanumRusi",Feed,inactive,ad,Interest,259.03,"7-day click or 1-day view",5.35540026,48368,1.73785571,27832,0.08009428,3874,,"Landing page views",3427,0.07558506,,2025-04-01,2025-09-17
"SE-Stockholm-Traffic-EN-MAY2025-Target - 2nd - Support",Targeted,"T-CRS - Job Interview",Feed,not_delivering,ad,Targeted,258.81797471,"7-day click or 1-day view",6.31848969,40962,1.43625526,28520,0.0961623,3939,,"Landing page views",3573,0.07243716,,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-Jun2025-Target - Support2",Targeted,"T-CRS - Testosterone",Feed,not_delivering,ad,Targeted,254.48050162,"7-day click or 1-day view",8.00454522,31792,1.92119894,16548,0.06853926,2179,,"Landing page views",1932,0.13171869,25,2025-04-01,2025-09-17
"US-SanJose-Traffic-May2025-Target - 2nd - Support2",Targeted,"T-CRS - Balls Drink",Feed,not_delivering,ad,Targeted,246.88995874,"7-day click or 1-day view",8.88764746,27779,1.30847857,21230,0.11976673,3327,,"Landing page views",3130,0.07887858,,2025-04-01,2025-09-17
"SE-Stockholm-Traffic-EN-MAY2025-Target - 2nd - Support2",Targeted,"I-Video-Jew Muslim",Feed,not_delivering,ad,Targeted,246.53920025,"7-day click or 1-day view",5.74991721,42877,1.77228951,24193,0.11334748,4860,,"Landing page views",4452,0.05537718,,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Interest - 2nd - Support",Interest,"I-CRS - Big",Feed,not_delivering,ad,Interest,241.88,"7-day click or 1-day view",6.18302658,39120,1.29198454,30279,0.09527096,3727,,"Landing page views",3474,0.06962579,,2025-04-01,2025-09-17
"SE-Gothenburg-EN-Traffic-JUN2025-Interest - Support",Interest,"I-CRS - Nor.Names",Feed,not_delivering,ad,Interest,240.67689405,"7-day click or 1-day view",5.45925904,44086,1.49601276,29469,0.09402078,4145,,"Landing page views",3753,0.0641292,,2025-04-01,2025-09-17
"US-Fresno-Traffic-MAY2025-Target - Support3",Targeted,"T-CRS - BallsDrink",Feed,not_delivering,ad,Targeted,239.479958,"7-day click or 1-day view",8.93248631,26810,1.4024167,19117,0.10350615,2775,,"Landing page views",2571,0.09314662,5,2025-04-01,2025-09-17
"SE-Stockholm-FA-Traffic-Jun2025-Target - Support2",Targeted,"T-Video -",Feed,not_delivering,ad,Targeted,230.37,"7-day click or 1-day view",9.32823129,24696,2.6612069,9280,0.09252511,2285,,"Landing page views",2058,0.11193878,,2025-04-01,2025-09-17
"SE-Stockholm-FA-Traffic-Jun2025-Target - Support",Targeted,"T-CRS - KhanumRusi",Feed,not_delivering,ad,Targeted,228.89339331,"7-day click or 1-day view",7.78681386,29395,1.66732842,17630,0.09787379,2877,,"Landing page views",2643,0.08660363,,2025-04-01,2025-09-17
"US-SanJose-Traffic-May2025-Interest - 2nd - Support",Interest,"I-CRS - Big",Feed,not_delivering,ad,Interest,221.76,"7-day click or 1-day view",7.99279149,27745,1.17523721,23608,0.12733826,3533,,"Landing page views",3290,0.06740426,,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-JUN2025-Interest - Support2",Interest,"I-CRS - AsaMosa",Feed,not_delivering,ad,Interest,218.98800888,"7-day click or 1-day view",6.4893027,33746,1.73296359,19473,0.06403722,2161,,"Landing page views",1900,0.11525685,16,2025-04-01,2025-09-17
"SE-Stockholm-FA-Traffic-MAY2025-Interest - Support2",Interest,I-Video-Liar,Feed,not_delivering,ad,Interest,215.82,"7-day click or 1-day view",6.30315421,34240,2.1335992,16048,0.08703271,2980,,"Landing page views",2733,0.07896817,,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-Jun2025-Target - Support2",Targeted,"T-CRS - Asa Mosa",Feed,not_delivering,ad,Targeted,215.44191373,"7-day click or 1-day view",7.55591883,28513,1.99433448,14297,0.06632063,1891,,"Landing page views",1673,0.1287758,30,2025-04-01,2025-09-17
"BHZ-Ggsh-FA-Traffic-May2025-Target - Clicks - Support",Targeted,"T-CRS - BHZ-Ggsh",Feed,not_delivering,ad,Targeted,213.73,"7-day click or 1-day view",7.96430168,26836,1.39241426,19273,0.08350723,2241,,"Link clicks",2241,0.0953726,1,2025-04-01,2025-09-17
"TR-Istanbul-EN-Traffic-JUN2025-Target - 2ND - Support",Targeted,"T-Video-Indian Columbian",Feed,not_delivering,ad,Targeted,212.29914767,"7-day click or 1-day view",0.83168464,255264,1.46307409,174471,0.09264526,23649,,"Landing page views",16873,0.01258218,15,2025-04-01,2025-09-17
"US-SanJose-Traffic-May2025-Target - 2nd - Support2",Targeted,"T-CRS - Shady Friends",Feed,not_delivering,ad,Targeted,211.31980627,"7-day click or 1-day view",9.408718,22460,1.72530343,13018,0.1460374,3280,,"Landing page views",3077,0.06867722,6,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Interest - 2nd - Support3",Interest,"I-CRS - Big",Feed,not_delivering,ad,Interest,209.4,"7-day click or 1-day view",5.94059406,35249,1.34123511,26281,0.0880025,3102,,"Landing page views",2895,0.07233161,6,2025-04-01,2025-09-17
ES-Madrid-EN-Traffic-MAY2025-Target-Support,Targeted,"T-CRS - Job Interview",Feed,inactive,ad,Targeted,204.1599863,"7-day click or 1-day view",2.72634991,74884,1.45245069,51557,0.06367181,4768,,"Landing page views",3904,0.05229508,8,2025-04-01,2025-09-17
"TR-Istanbul-EN-Traffic-JUN2025-Target - 2ND - Support",Targeted,"T-CRS - Job Interview",Feed,not_delivering,ad,Targeted,202.04,"7-day click or 1-day view",0.86246788,234258,1.94690957,120323,0.06213662,14556,,"Landing page views",12423,0.01626338,10,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-JUN2025-Interest - Support",Interest,"I-CRS - Liar",Feed,not_delivering,ad,Interest,199.32953026,"7-day click or 1-day view",6.22399083,32026,1.87979104,17037,0.06888153,2206,,"Landing page views",1885,0.10574511,,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Target - 2nd - Support",Targeted,"T-CRS - Big",Feed,not_delivering,ad,Targeted,194.51005165,"7-day click or 1-day view",5.30506073,36665,1.71564269,21371,0.10413201,3818,,"Landing page views",3524,0.05519581,,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Interest - 2nd - Support4",Interest,"I-CRS - Father Love",Feed,not_delivering,ad,Interest,193.62991463,"7-day click or 1-day view",5.39900498,35864,1.38910837,25818,0.07107406,2549,,"Landing page views",2338,0.08281861,54,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Interest - 2nd - Support3",Interest,"I-CRS - Jew Muslim",Feed,not_delivering,ad,Interest,193.53,"7-day click or 1-day view",5.33331496,36287,1.38283602,26241,0.08702841,3158,,"Landing page views",2882,0.06715128,11,2025-04-01,2025-09-17
"NW-Oslo-Traffic-EN-MAY2025-Target - 2nd - Support",Targeted,"T-CRS - Father Love",Feed,not_delivering,ad,Targeted,186.76,"7-day click or 1-day view",5.85821832,31880,1.75812055,18133,0.14871393,4741,,"Landing page views",4340,0.04303226,,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-Jun2025-Target - Support",Targeted,"T-CRS - KhanumRusi",Feed,inactive,ad,Targeted,184.05,"7-day click or 1-day view",6.77227067,27177,1.63244834,16648,0.09732494,2645,,"Landing page views",2404,0.0765599,,2025-04-01,2025-09-17
"SE-Gothenburg-EN-Traffic-JUN2025-Interest - Support",Interest,"I-CRS - Shady Friends",Feed,not_delivering,ad,Interest,180.29864512,"7-day click or 1-day view",5.51355142,32701,1.67973084,19468,0.08345311,2729,,"Landing page views",2469,0.07302497,,2025-04-01,2025-09-17
