"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"11:00:00 - 11:59:59",inactive,25,Daily,0.99,"7-day click or 1-day view",6,165,1.044304,158,0.06060606,10,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"11:00:00 - 11:59:59",inactive,25,Daily,23.24,"7-day click or 1-day view",8.756594,2654,1.208561,2196,0.03993971,106,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"11:00:00 - 11:59:59",inactive,25,Daily,21.75,"7-day click, 1-day view, or 1-day engaged-view",9.077629,2396,1.123827,2132,0.01419032,34,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"11:00:00 - 11:59:59",inactive,42,Daily,16.262691,"7-day click, 1-day view, or 1-day engaged-view",14.48147,1123,1.140102,985,0.01246661,14,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"11:00:00 - 11:59:59",inactive,43,Daily,15.054695,"7-day click or 1-day view",13.011837,1157,1.272827,909,0.02160761,25,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"12:00:00 - 12:59:59",inactive,25,Daily,14.21,"7-day click or 1-day view",6.447368,2204,1.066796,2066,0.07940109,175,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"12:00:00 - 12:59:59",inactive,25,Daily,14.81055,"7-day click or 1-day view",8.320534,1780,1.011364,1760,0.05955056,106,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"12:00:00 - 12:59:59",inactive,25,Daily,1.15,"7-day click or 1-day view",7.931034,145,1.013986,143,0.07586207,11,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"12:00:00 - 12:59:59",inactive,25,Daily,1.01,"7-day click or 1-day view",6.433121,157,1.039735,151,0.03184713,5,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"12:00:00 - 12:59:59",inactive,25,Daily,20.32,"7-day click or 1-day view",9.027099,2251,1.234778,1823,0.037761,85,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"12:00:00 - 12:59:59",inactive,25,Daily,19.07,"7-day click, 1-day view, or 1-day engaged-view",8.840983,2157,1.164687,1852,0.01205378,26,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"12:00:00 - 12:59:59",inactive,42,Daily,19.203178,"7-day click, 1-day view, or 1-day engaged-view",14.647733,1311,1.15,1140,0.01525553,20,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"12:00:00 - 12:59:59",inactive,43,Daily,15.13472,"7-day click or 1-day view",12.508033,1210,1.222222,990,0.01818182,22,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"13:00:00 - 13:59:59",inactive,25,Daily,16.63,"7-day click or 1-day view",6.681398,2489,1.095029,2273,0.06789875,169,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"13:00:00 - 13:59:59",inactive,25,Daily,15.300568,"7-day click or 1-day view",8.1386,1880,1.060948,1772,0.06276596,118,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"13:00:00 - 13:59:59",inactive,25,Daily,1.54,"7-day click or 1-day view",7.196262,214,1.038835,206,0.06542056,14,,,,Ongoing
