"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"03:00:00 - 03:59:59",inactive,30,Daily,51.062699,"7-day click or 1-day view",17.015228,3001,1.156901,2594,0.05998001,180,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,10.234591,"7-day click or 1-day view",9.380927,1091,1.11213,981,0.04766269,52,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,10.252995,"7-day click or 1-day view",21.955021,467,1.144608,408,0.01070664,5,,,,Ongoing
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"04:00:00 - 04:59:59",inactive,10,Daily,6.631668,"7-day click or 1-day view",5.979863,1109,1.132789,979,0.04238052,47,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"04:00:00 - 04:59:59",inactive,30,Daily,12.961213,"7-day click or 1-day view",14.180758,914,1.05421,867,0.03938731,36,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"04:00:00 - 04:59:59",inactive,30,Daily,14.500766,"7-day click or 1-day view",13.063754,1110,1.126904,985,0.06126126,68,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,4.59206,"7-day click or 1-day view",8.000104,574,1.080979,531,0.08536585,49,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,3.501023,"7-day click or 1-day view",9.834333,356,1.123028,317,0.01966292,7,,,,Ongoing
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"05:00:00 - 05:59:59",inactive,10,Daily,8.042023,"7-day click or 1-day view",5.631669,1428,1.149758,1242,0.04271709,61,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"05:00:00 - 05:59:59",inactive,30,Daily,16.481543,"7-day click or 1-day view",13.465313,1224,1.060659,1154,0.05555556,68,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"05:00:00 - 05:59:59",inactive,30,Daily,25.641355,"7-day click or 1-day view",12.92407,1984,1.134362,1749,0.06552419,130,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,6.53293,"7-day click or 1-day view",7.5438,866,1.121762,772,0.08083141,70,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,4.4513,"7-day click or 1-day view",8.710959,511,1.123077,455,0.01174168,6,,,,Ongoing
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"06:00:00 - 06:59:59",inactive,10,Daily,12.413122,"7-day click or 1-day view",5.629534,2205,1.214876,1815,0.04217687,93,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"06:00:00 - 06:59:59",inactive,30,Daily,27.752598,"7-day click or 1-day view",13.72532,2022,1.053125,1920,0.05637982,114,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"06:00:00 - 06:59:59",inactive,30,Daily,44.832369,"7-day click or 1-day view",12.436164,3605,1.175416,3067,0.05742025,207,,,,Ongoing
