"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1917,2236,,24.517768,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",8,actions:onsite_conversion.lead_grouped,1141,1311,2.05875,16.47,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",11,actions:onsite_conversion.lead_grouped,1353,1560,2.31586892,25.474558,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","18:00:00 - 18:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2766,3471,,17.195712,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2003,2386,,25.197152,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,1091,1211,4.0525,16.21,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",14,actions:onsite_conversion.lead_grouped,1422,1658,1.86461934,26.104671,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","19:00:00 - 19:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2972,3751,,17.735892,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2287,2726,,27.565004,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",8,actions:onsite_conversion.lead_grouped,1159,1347,2.09625,16.77,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",11,actions:onsite_conversion.lead_grouped,1619,1877,2.77231422,30.495456,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","20:00:00 - 20:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2735,3381,,15.855267,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2460,2941,,31.151752,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",11,actions:onsite_conversion.lead_grouped,1277,1478,1.64454545,18.09,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",12,actions:onsite_conversion.lead_grouped,1641,1987,2.91302122,34.956255,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","21:00:00 - 21:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2881,3710,,19.066334,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2763,3215,,34.698536,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"22:00:00 - 22:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",8,actions:onsite_conversion.lead_grouped,1299,1425,2.33,18.64,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"22:00:00 - 22:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",18,actions:onsite_conversion.lead_grouped,2395,2876,2.78216447,50.07896,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","22:00:00 - 22:59:59",inactive,50,Daily,"7-day click or 1-day view",,,3265,4088,,22.687536,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"22:00:00 - 22:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2443,2679,,31.511426,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"23:00:00 - 23:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:onsite_conversion.lead_grouped,904,969,2.61,13.05,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"23:00:00 - 23:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",7,actions:onsite_conversion.lead_grouped,1799,2056,5.31952323,37.236663,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","23:00:00 - 23:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2735,3426,,19.766566,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"23:00:00 - 23:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1739,1927,,26.306146,Ongoing
