"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","22:00:00 - 22:59:59",FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648870429,120231844648940429,active,ad,FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6725,7390,,-,-,-,33.88,1.09888476,315,0.10755556,0.04262517,626,4.58457375,4.26251691,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","20:00:00 - 20:59:59",FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648870429,120231844648940429,active,ad,FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6106,6836,,-,-,-,33.66,1.11955454,289,0.11647059,0.04227618,579,4.92393212,4.22761849,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"21:00:00 - 21:59:59",MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Video_EN_Toronto_OCT5_7PM_Promo_7-18-25,120229365441750429,120229369014240429,120229369014250429,not_delivering,ad,MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6415,6753,,-,-,-,32.96,1.05268901,191,0.17256545,0.02828373,269,4.88079372,2.82837258,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","23:00:00 - 23:59:59",FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648870429,120231844648940429,active,ad,FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,5649,6305,,-,-,-,32.5,1.11612675,267,0.12172285,0.04234734,520,5.15463918,4.23473434,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","21:00:00 - 21:59:59",FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648870429,120231844648940429,active,ad,FB_MW_21-45_EN_Feed_OCT5_Toronto_4PM_IGFBEngagement_8-20-25-4th,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6541,7236,,-,-,-,31.37,1.10625287,280,0.11203571,0.03869541,579,4.3352681,3.86954118,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","11:00:00 - 11:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,8081,8356,,-,-,-,30.89279055,1.03403044,154,0.20060254,0.01842987,171,3.69707881,1.84298708,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","21:00:00 - 21:59:59",FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648950429,120231844648910429,active,ad,FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,7853,8639,,-,-,-,29.92712654,1.10008914,426,0.07025147,0.04931126,862,3.46418874,4.93112629,,,,2025-05-01,2025-09-20
FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"22:00:00 - 22:59:59",MW_30-50_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Flyer_EN_Toronto_OCT5_7PM_Flyer_7-18-25,120229371794620429,120229371794720429,120229371794660429,not_delivering,ad,MW_30-50_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6306,7053,,-,-,-,29.58,1.11845861,295,0.10027119,0.04182617,565,4.19396002,4.18261733,,,,2025-05-01,2025-09-20
CA-Toronto-Traffic-OCT2025-Interest-2ND,"12:00:00 - 12:59:59",Interest,I-Video-PissGuy,120226607761310429,120226607761300429,120227141853800429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,4980,4981,,-,-,-,29.36337739,1.0002008,170,0.17272575,0.03412969,246,5.89507677,3.41296928,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","06:00:00 - 06:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,7204,7561,,-,-,-,28.9626162,1.0495558,170,0.17036833,0.0224838,194,3.83052721,2.24837984,,,,2025-05-01,2025-09-20
"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","07:00:00 - 07:59:59",Targeted,T-Flyer,120226616534680429,120226616534850429,120226616534740429,not_delivering,ad,Targeted,"7-day click or 1-day view","Landing page views",,10491,10491,,-,-,-,28.73402742,1,83,0.3461931,0.00791154,98,2.73892169,0.79115432,,,,2025-05-01,2025-09-20
"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","08:00:00 - 08:59:59","Targeted - List",T-Flyer,120226616534680429,120226616534690429,120226616534840429,not_delivering,ad,"Targeted - List","7-day click or 1-day view","Landing page views",,9801,9902,,-,-,-,28.2,1.01030507,75,0.376,0.00757423,86,2.84790951,0.75742274,,,,2025-05-01,2025-09-20
FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"23:00:00 - 23:59:59",MW_30-50_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Flyer_EN_Toronto_OCT5_7PM_Flyer_7-18-25,120229371794620429,120229371794720429,120229371794660429,not_delivering,ad,MW_30-50_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,5845,6163,,-,-,-,28.04,1.05440547,241,0.11634855,0.03910433,458,4.54973227,3.91043323,,,,2025-05-01,2025-09-20
