"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","02:00:00 - 02:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,4788,4976,,11.725214,2025-06-09
2025-05-01,2025-09-20,"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","02:00:00 - 02:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,4349,4501,,12.871163,2025-06-09
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",594,reach,594,601,1.5,0.891,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",844,reach,844,872,1.3761413,1.161463,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1115,reach,1115,1158,1.44577204,1.612036,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2009,reach,2009,2028,1.81920233,3.654777,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"02:00:00 - 02:59:59",inactive,20,Daily,"7-day click or 1-day view",,,929,991,,2.96,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"02:00:00 - 02:59:59",inactive,20,Daily,"7-day click or 1-day view",,,539,556,,2.12,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"02:00:00 - 02:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,4010,4344,,19.560436,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"02:00:00 - 02:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,4434,4911,,27.51,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"02:00:00 - 02:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,797,875,,4.480615,Ongoing
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"02:00:00 - 02:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,3775,4052,,17.404693,Ongoing
2025-05-01,2025-09-20,"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","02:00:00 - 02:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,1656,1833,,8.307484,Ongoing
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy","03:00:00 - 03:59:59",inactive,10,Daily,"7-day click or 1-day view",,,962,1076,,2.972755,2025-06-10
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,"03:00:00 - 03:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2124,2198,,6.991559,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"03:00:00 - 03:59:59",inactive,20,Daily,"7-day click or 1-day view",,,746,784,,3.630962,2025-10-04
2025-05-01,2025-09-20,"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","03:00:00 - 03:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,2292,2395,,6.45287,2025-06-09
2025-05-01,2025-09-20,"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","03:00:00 - 03:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,3090,3298,,9.000813,2025-06-09
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",761,reach,761,799,1.09189564,0.830933,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1245,reach,1245,1270,1.27871942,1.592006,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1830,reach,1830,1898,1.2310629,2.252845,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1110,reach,1110,1198,0.73068487,0.81106,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"03:00:00 - 03:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1312,1378,,3.71,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"03:00:00 - 03:59:59",inactive,20,Daily,"7-day click or 1-day view",,,740,799,,2.53,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"03:00:00 - 03:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,3770,4197,,17.860398,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"03:00:00 - 03:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,4616,5541,,32.35,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"03:00:00 - 03:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,407,434,,2.100289,Ongoing
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"03:00:00 - 03:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,11626,12811,,64.110453,Ongoing
2025-05-01,2025-09-20,"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","03:00:00 - 03:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,8951,9958,,73.987589,Ongoing
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy","04:00:00 - 04:59:59",inactive,10,Daily,"7-day click or 1-day view",,,700,747,,2.202041,2025-06-10
