"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,In-app,"Android Smartphone",inactive,25,Daily,24.65,"7-day click or 1-day view",6.035749,4084,1.366801,2988,0.09867777,403,323,actions:landing_page_view,0.07631579,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,In-app,"Android Tablet",inactive,25,Daily,0.04,"7-day click or 1-day view",6.666667,6,1,6,0.16666667,1,1,actions:landing_page_view,0.04,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,In-app,iPad,inactive,25,Daily,1.26,"7-day click or 1-day view",6.5625,192,1.2,160,0.05208333,10,7,actions:landing_page_view,0.18,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,In-app,iPhone,inactive,25,Daily,159.45,"7-day click or 1-day view",6.22657,25608,1.621581,15792,0.08227898,2107,1999,actions:landing_page_view,0.07976488,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,In-app,Other,inactive,25,Daily,0.01,"7-day click or 1-day view",10,1,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,"Mobile web","Android Smartphone",inactive,25,Daily,0.03,"7-day click or 1-day view",2,15,1,15,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Feed,"Mobile web",iPhone,inactive,25,Daily,0.14,"7-day click or 1-day view",3.684211,38,1.583333,24,0.10526316,4,4,actions:landing_page_view,0.035,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,Marketplace,In-app,iPhone,inactive,25,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Right column",Desktop,Desktop,inactive,25,Daily,0,"7-day click or 1-day view",0,2,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Feed: video feeds",In-app,iPhone,inactive,25,Daily,0.04,"7-day click or 1-day view",8,5,1,5,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Uncategorized,Uncategorized,Uncategorized,Other,inactive,25,Daily,0,"7-day click or 1-day view",0,0,0,0,,,1,actions:landing_page_view,0,2025-07-18
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,"Audience Network","Native, banner & interstitial",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",0.322585,31,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,"Audience Network","Native, banner & interstitial",In-app,iPhone,inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",3.333374,3,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.090001,"7-day click or 1-day view",4.090959,22,0,0,0.04545455,1,1,actions:landing_page_view,0.09000111,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Notifications",In-app,iPhone,inactive,"Using ad set budget",0,0.700009,"7-day click or 1-day view",3.349323,209,1.30625,160,0.01913876,4,1,actions:landing_page_view,0.70000859,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.880011,"7-day click or 1-day view",4.422165,199,1.130682,176,0.03517588,7,6,actions:landing_page_view,0.14666847,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook profile feed",In-app,iPad,inactive,"Using ad set budget",0,0.050001,"7-day click or 1-day view",6.250077,8,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook profile feed",In-app,iPhone,inactive,"Using ad set budget",0,2.560031,"7-day click or 1-day view",3.355218,763,1.059722,720,0.03407602,26,16,actions:landing_page_view,0.16000196,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,14.080173,"7-day click or 1-day view",6.042993,2330,1.600275,1456,0.04849785,113,62,actions:landing_page_view,0.22709956,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",10.000123,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Reels",In-app,iPad,inactive,"Using ad set budget",0,0.04,"7-day click or 1-day view",2.500031,16,1,16,0.0625,1,1,actions:landing_page_view,0.04000049,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Reels",In-app,iPhone,inactive,"Using ad set budget",0,73.870907,"7-day click or 1-day view",6.252828,11814,1.47675,8000,0.03876756,458,362,actions:landing_page_view,0.20406328,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Reels",In-app,Other,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.140002,"7-day click or 1-day view",0.945958,148,1.85,80,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Ads on Reels",In-app,iPhone,inactive,"Using ad set budget",0,39.09048,"7-day click or 1-day view",2.001356,19532,1.561061,12512,0.00926684,181,23,actions:landing_page_view,1.69958608,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.250003,"7-day click or 1-day view",7.142945,35,1.09375,32,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Facebook Stories",In-app,iPhone,inactive,"Using ad set budget",0,3.180039,"7-day click or 1-day view",7.344201,433,1.933036,224,0.06466513,28,17,actions:landing_page_view,0.18706112,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,Desktop,Desktop,inactive,"Using ad set budget",0,0.080001,"7-day click or 1-day view",8.000098,10,1,10,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,50.710623,"7-day click or 1-day view",7.321776,6926,1.915376,3616,0.07854461,544,348,actions:landing_page_view,0.14572018,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,In-app,"Android Tablet",inactive,"Using ad set budget",0,0.120001,"7-day click or 1-day view",9.230883,13,0,0,0.30769231,4,3,actions:landing_page_view,0.04000049,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,In-app,iPad,inactive,"Using ad set budget",0,8.240101,"7-day click or 1-day view",9.728573,847,1.764583,480,0.09799292,83,44,actions:landing_page_view,0.18727503,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,In-app,iPhone,inactive,"Using ad set budget",0,483.325934,"7-day click or 1-day view",7.581108,63754,2.252473,28304,0.06416852,4091,2845,actions:landing_page_view,0.16988609,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,In-app,Other,inactive,"Using ad set budget",0,0.02,"7-day click or 1-day view",10.000123,2,0,0,0,,3,actions:landing_page_view,0.00666675,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,"Mobile web","Android Smartphone",inactive,"Using ad set budget",0,0.580007,"7-day click or 1-day view",4.531306,128,2,64,0.0625,8,6,actions:landing_page_view,0.09666785,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Feed,"Mobile web",iPhone,inactive,"Using ad set budget",0,1.170014,"7-day click or 1-day view",3.305125,354,1.84375,192,0.01977401,7,4,actions:landing_page_view,0.29250359,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.02,"7-day click or 1-day view",2.22225,9,0,0,0.11111111,1,1,actions:landing_page_view,0.02000025,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"In-stream reels",In-app,iPad,inactive,"Using ad set budget",0,0.03,"7-day click or 1-day view",10.000123,3,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"In-stream reels",In-app,iPhone,inactive,"Using ad set budget",0,0.340004,"7-day click or 1-day view",2.741969,124,1,124,0.00806452,1,1,actions:landing_page_view,0.34000417,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Marketplace,In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.060001,"7-day click or 1-day view",2.608728,23,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,Marketplace,In-app,iPhone,inactive,"Using ad set budget",0,0.460006,"7-day click or 1-day view",4.842165,95,1.979167,48,0.02105263,2,1,actions:landing_page_view,0.46000565,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Right column",Desktop,Desktop,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,18,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Search results",In-app,iPhone,inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",3.333374,3,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Feed: video feeds",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",10.000123,1,0,0,1,1,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Feed: video feeds",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",10.000123,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Feed: video feeds",In-app,iPad,inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",2.000025,5,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Facebook,"Feed: video feeds",In-app,iPhone,inactive,"Using ad set budget",0,0.190002,"7-day click or 1-day view",4.750058,40,2.5,16,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Feed,Desktop,Desktop,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,17.470215,"7-day click or 1-day view",8.190443,2133,1.245911,1712,0.06563526,140,92,actions:landing_page_view,0.18989364,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Feed,In-app,"Android Tablet",inactive,"Using ad set budget",0,0.04,"7-day click or 1-day view",13.333497,3,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Feed,In-app,iPad,inactive,"Using ad set budget",0,0.060001,"7-day click or 1-day view",5.454612,11,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Feed,In-app,iPhone,inactive,"Using ad set budget",0,40.650499,"7-day click or 1-day view",6.703578,6064,1.46332,4144,0.06348945,385,207,actions:landing_page_view,0.19637922,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Explore,In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.620008,"7-day click or 1-day view",6.966378,89,2.78125,32,0.05617978,5,2,actions:landing_page_view,0.31000381,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,Explore,In-app,iPhone,inactive,"Using ad set budget",0,0.880011,"7-day click or 1-day view",5.605164,157,1.635417,96,0.04458599,7,2,actions:landing_page_view,0.4400054,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Explore home",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,2,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Explore home",In-app,iPhone,inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",1.250015,8,1,8,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,4.600056,"7-day click or 1-day view",6.241596,737,1.001359,736,0.04070556,30,21,actions:landing_page_view,0.21905031,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Reels",In-app,iPad,inactive,"Using ad set budget",0,0.190002,"7-day click or 1-day view",7.916764,24,0,0,0.04166667,1,2,actions:landing_page_view,0.09500117,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Reels",In-app,iPhone,inactive,"Using ad set budget",0,29.540363,"7-day click or 1-day view",5.956919,4959,1.353439,3664,0.03367614,167,114,actions:landing_page_view,0.25912599,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Stories",Desktop,Desktop,inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",10.000123,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,3.200039,"7-day click or 1-day view",6.867037,466,1.532895,304,0.0472103,22,13,actions:landing_page_view,0.24615687,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Stories",In-app,iPad,inactive,"Using ad set budget",0,0.070001,"7-day click or 1-day view",5.384682,13,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Stories",In-app,iPhone,inactive,"Using ad set budget",0,36.500448,"7-day click or 1-day view",6.694873,5452,1.570277,3472,0.040719,222,137,actions:landing_page_view,0.26642663,Ongoing
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,"Using ad set budget",0,0.01,"7-day click or 1-day view",10.000123,1,0,0,0,,,,,Ongoing
