"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_FrenchPersian_6-28-25,Feed,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.74310775,"7-day click or 1-day view",2.24660749,1221,1,1221,0.002457,3,,Reach,1221,2.24660749,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_PissGuy_6-28-25,Explore,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.72530214,"7-day click or 1-day view",2.25231582,1210,1.01001669,1198,0.00082645,1,,Reach,1198,2.27487658,,2025-04-01,2025-09-17
IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,Flyer_EN_Sacramento_NOV8_8PM_Flyer_7-8-25,Explore,rejected,ad,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,2.63029752,"7-day click or 1-day view",5.74300768,458,1.145,400,0.01528384,7,,"Landing page views",3,0.87676584,6,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,CRS_EN_SAC_NOV8_8PM_PissGuy_6-28-25,Feed,not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.55,"7-day click or 1-day view",3.61189802,706,1.00284091,704,0,,,Reach,704,3.62215909,,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,CRS_EN_SAC_NOV8_8PM_Big_6-28-25,Feed,not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.47,"7-day click or 1-day view",2.78153153,888,1.01485714,875,0.00337838,3,,Reach,875,2.82285714,,2025-04-01,2025-09-17
FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_Big_6-28-25,Feed,not_delivering,ad,W_30-50_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.44719101,"7-day click or 1-day view",2.3262272,1052,1.00381679,1048,0,,,Reach,1048,2.33510593,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_Big_6-28-25,Explore,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.28695829,"7-day click or 1-day view",2.22034786,1030,1.00980392,1020,0.00194175,2,,Reach,1020,2.24211597,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_PissGuy_6-28-25,"Instagram Reels",not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.27442495,"7-day click or 1-day view",2.2232893,1023,1.00097847,1022,0.00097752,1,,Reach,1022,2.22546473,,2025-04-01,2025-09-17
IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,IG_MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Engagemnt_LD0906,"Video_EN_Sacramento_NOV8_8PM_PissGuy_7-8-25 - Copy",Explore,active,ad,IG_MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Engagemnt_LD0906,2.19406485,"7-day click or 1-day view",4.89746619,448,1.18832891,377,0.078125,35,,"Landing page views",19,0.1154771,,2025-04-01,2025-09-17
IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,Video_EN_SAC_NOV8_8PM_FrenchPersian_6-28-25,Feed,not_delivering,ad,W_21-45_EN_Feed_NOV8_Sacramento_8PM_6-28-25,2.04122156,"7-day click or 1-day view",2.64749878,771,1,771,0,,,Reach,771,2.64749878,,2025-04-01,2025-09-17
